segment,sample_count,fraud_positive_count,precision,recall,false_positive_rate,false_negative_rate,fpr_gap_vs_overall,fnr_gap_vs_overall,recall_gap_vs_overall,precision_gap_vs_overall,is_low_support,severity_label,severity_score
cohort:new_users,1252,40,0.12963,0.525,0.116337,0.475,-0.011225,-0.013814,0.013814,0.000241,False,ok,0.140313
cohort:established_users,23748,854,0.129377,0.510539,0.128156,0.489461,0.000594,0.000647,-0.000647,-1.2e-05,False,ok,0.007425
cohort:agent_small_ticket,4426,154,0.129688,0.538961,0.130384,0.461039,0.002822,-0.027775,0.027775,0.000299,False,ok,0.231458
device:mobile_app,20029,719,0.129332,0.503477,0.126204,0.496523,-0.001358,0.007709,-0.007709,-5.7e-05,False,ok,0.064242
device:agent,4971,175,0.129604,0.542857,0.133028,0.457143,0.005466,-0.031671,0.031671,0.000216,False,ok,0.263925
ieee:device_mobile,2344,240,0.152809,0.85,0.537548,0.15,0.409986,-0.338814,0.338814,0.023421,False,severe,5.124825
ieee:device_desktop,3707,264,0.119266,0.787879,0.446123,0.212121,0.318561,-0.276693,0.276693,-0.010122,False,severe,3.982012
ieee:product_C,2974,347,0.13904,0.809798,0.662352,0.190202,0.534791,-0.298613,0.298613,0.009652,False,severe,6.684888
ieee:product_H,1415,76,0.170347,0.710526,0.196415,0.289474,0.068854,-0.199341,0.199341,0.040959,False,severe,1.661175
ieee:product_R,1573,67,0.103986,0.895522,0.343293,0.104478,0.215732,-0.384337,0.384337,-0.025402,False,severe,3.202808
ieee:product_S,528,31,0.1,0.548387,0.307847,0.451613,0.180285,-0.037201,0.037201,-0.029388,False,severe,2.253563
ieee:product_W,18510,373,0.100671,0.120643,0.022165,0.879357,-0.105397,0.390542,-0.390542,-0.028717,False,severe,3.254517
ieee:identity_high_confidence,18699,480,0.118483,0.364583,0.071464,0.635417,-0.056098,0.146602,-0.146602,-0.010905,False,severe,1.221683
ieee:identity_medium_confidence,24905,877,0.128419,0.508552,0.125978,0.491448,-0.001584,0.002634,-0.002634,-0.000969,False,ok,0.02195
ieee:identity_low_confidence,95,17,0.186441,0.647059,0.615385,0.352941,0.487823,-0.135873,0.135873,0.057052,True,low_support,0.0
