feature,mean_abs_shap
numeric_canonical__device_signal_present,0.60814327
numeric_canonical__amount_raw,0.35790148
numeric_canonical__time_since_last_tx,0.23682669
numeric_canonical__event_time_raw,0.19196329
numeric_canonical__amount_over_user_avg,0.13480961
numeric_canonical__hour_of_day,0.12532829
numeric_canonical__avg_amount_24h,0.09551387
numeric_canonical__amount_log,0.08399768
numeric_canonical__tx_count_24h,0.07064852
numeric_canonical__day_of_week,0.047854815
numeric_canonical__amount_std_24h,0.04028007
numeric_canonical__uid_time_since_last_tx,0.016333083
numeric_canonical__uid_avg_amount_7d,0.011840357
numeric_canonical__tx_count_1h,0.009830392
numeric_canonical__uid_tx_count_7d,0.0063853688
numeric_canonical__uid_amount_std_7d,0.00471342
numeric_canonical__location_signal_present,0.0039630528
