stage,count,mean_ms,p50_ms,p95_ms,p99_ms,mean_share_of_total_pct
total_pipeline_ms,1361,195.87963335782513,150.892,511.466,745.2386000000017,
preprocessing_ms,4626,97.23545957630783,57.33,334.24,534.45925,96.67405659898776
model_predict_ms,4626,33.669087116299174,3.7125000000000004,236.5415,422.28375000000005,42.45379464028328
aggregate_event_queued,4626,1.0,1.0,1.0,1.0,1.2244358118697638
decision_and_reasoning_ms,4626,0.4666872027669693,0.035,0.155,0.231,0.4730471907835079
audit_logging_ms,1361,0.11244085231447466,0.086,0.149,0.2234000000000001,0.09749917979381194
context_adjustment_ms,4626,0.0540458279290964,0.042,0.104,0.14475,0.08631521420407771
behavior_scoring_ms,4626,0.25688629485516645,0.026,0.061,4.658,0.3556110868736144
aggregate_enqueue_ms,4626,0.023705577172503243,0.017,0.051,0.093,0.03811090858105716
entity_smoothing_ms,4626,0.002466926070038911,0.002,0.003,0.004,0.0030706869540479843
